selection_rank,Selected,rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,mean_score_time,mean_fit_time,param_n_estimators,param_max_depth,param_max_features,param_min_samples_split,param_class_weight,params
23,False,23,0.9125291380715193,0.0020523783669187945,23,0.9374869773891551,0.001046299423053454,0.39455080032348633,2.6589324474334717,200,30,log2,5,balanced_subsample,"{'class_weight': 'balanced_subsample', 'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}"
24,False,24,0.9112237171780182,0.0017974818128437264,30,0.9360037469194789,0.0016817130211738696,1.7284350395202637,9.979324460029602,200,,log2,5,,"{'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}"
25,False,25,0.910678724202775,0.0011139359195964649,32,0.9355798384837011,0.0012578045853960385,0.9887456893920898,6.052326321601868,200,30,log2,5,,"{'class_weight': None, 'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}"
26,False,26,0.9106609683104194,0.00044192610246851505,28,0.9364269368663827,0.0012849275403970517,0.3230094909667969,3.2614036798477173,200,30,log2,2,balanced_subsample,"{'class_weight': 'balanced_subsample', 'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}"
27,False,27,0.9106120685274792,0.006105124630569503,17,0.9391819824545017,0.00022479720651524815,0.32673680782318115,12.649051547050476,200,30,sqrt,5,balanced_subsample,"{'class_weight': 'balanced_subsample', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}"
28,False,28,0.9105339671355441,0.0004205485014509014,10,0.940029350270511,0.0014960734583024937,0.5466898679733276,20.666054844856262,400,30,sqrt,2,balanced_subsample,"{'class_weight': 'balanced_subsample', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 400}"
29,False,29,0.9044368121513288,0.0028201108788278306,22,0.9376983927403884,0.001284658107069181,1.176072120666504,24.990243315696716,400,,sqrt,5,balanced_subsample,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 400}"
30,False,30,0.9034384730418861,0.005017704587535254,25,0.9374865283336088,0.0010727937002895649,1.0817564725875854,34.11361563205719,400,,sqrt,2,balanced_subsample,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 400}"
31,False,31,0.9033281905076803,0.0017329059313566653,24,0.9374868875780458,0.000622480798384839,0.6388108730316162,11.19253945350647,200,,sqrt,5,balanced_subsample,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}"
32,False,32,0.902473092017986,0.005852454981422173,8,0.9404532587062889,0.001072165022524607,0.6133996248245239,19.13711106777191,400,30,sqrt,5,balanced_subsample,"{'class_weight': 'balanced_subsample', 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 400}"
