Stage,Mean Time (s),Median Time (s),95th Percentile (s),Maximum Time (s),Mean Share of End-to-End (%)
Image Loading,0.002060936111587262,0.0018754499906208366,0.004307360014354345,0.005157400009920821,10.013909991159768
ROI Segmentation,0.011998179364748047,0.010186899991822429,0.025971384994045367,0.037944599986076355,58.298113920592634
HOG Extraction,0.004534782144002661,0.00421884999377653,0.00594101999013219,0.007266200002050027,22.034113509994853
Feature Scaling,0.0007207150785169299,0.0006573000136995688,0.0010465299899806266,0.005214199976762757,3.501892118325667
LR Prediction,0.0012661206351439764,0.0012344499991741031,0.0016137549959239549,0.0019966000108979642,6.151970459927079
